modelo,levenshtein,wer,cer,levenshtein_norm,tiempo_procesamiento_seg,tiempo_grabacion_seg,relacion_proc_vs_grab
base,407.3333333333333,0.8151950751265331,0.4578757890589978,1.0,17.21139129002889,76.29333333333334,0.2478732939511772
small,359.3333333333333,0.6399313410376338,0.3804396242599078,0.8821603927986906,45.525905529658,76.29333333333334,0.5480989872924916
medium,256.0,0.5430099714992656,0.2870660106219231,0.6284779050736498,86.37506453196208,76.29333333333334,1.136104688685826
large,224.0,0.5135212728379567,0.2469568404453506,0.5499181669394435,149.85603968302408,76.29333333333334,1.981907146778812
